"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Vascular Plant","Scutellaria galericulata","Hooded Skullcap","SC-H","none","SX","G5","Buncombe","Historical","spring-fed seepage"
"Vascular Plant","Scutellaria ovata var. rugosa","A Heartleaf Skullcap","SR-T","none","S1","G5T4","Buncombe","Current","rich woods on circumneutral soil"
"Vascular Plant","Scutellaria serrata","Showy Skullcap","W1","none","S2S3","G4G5","Buncombe","Historical","deciduous forests"
"Vascular Plant","Senna hebecarpa","Wild Senna","W7","none","S2S3","G5","Buncombe","Current","forests"
"Moss","Serpoleskea confervoides","Alga-like Matted-moss","SR-P","none","S1","G4G5","Buncombe","Current","calcareous rocks"
"Bird","Setophaga cerulea","Cerulean Warbler","SC","none","S2B","G4","Buncombe","Current","mature hardwood forests; steep slopes and coves in mountains, natural levees in Coastal Plain [breeding evidence only]"
"Bird","Setophaga magnolia","Magnolia Warbler","SR","none","S2B","G5","Buncombe","Historical","spruce-fir forests, especially in immature stands [breeding evidence only]"
"Vascular Plant","Silene ovata","Mountain Catchfly","SC-V","none","S3","G3","Buncombe","Current","rich slopes, cove forests, montane oak-hickory forests"
"Bird","Sitta canadensis","Red-breasted Nuthatch","W2,W5","none","S3B,S4N","G5","Buncombe","Current","high-elevation coniferous forests, preferably spruce-fir [breeding season only]"
"Vascular Plant","Solidago lancifolia","Lance-leaf Goldenrod","W7","none","S1?","G2","Buncombe","Current","moist forests over 5,000 ft., grassy balds, openings in Spruce-Fir forests"
"Vascular Plant","Solidago simulans","Granite Dome Goldenrod","SR-L","none","S2","G2","Buncombe","Current","high and low elevation granitic domes south of the Asheville Basin"
"Vascular Plant","Solidago squarrosa","Squarrose Goldenrod","SR-P","none","S1","G4G5","Buncombe","Current","moist forests at high elevations"
"Mammal","Sorex albibarbis","Eastern Water Shrew","SR","none","S3","G5","Buncombe","Current","stream banks in montane forests"
"Mammal","Sorex dispar blitchi","Southern Rock Shrew","SR","none","S3","G4T3T4","Buncombe","Current","high elevation forests with talus or rocky slopes"
"Mammal","Sorex hoyi","American Pygmy Shrew","W2","none","S3","G5","Buncombe","Current","montane deciduous forests; old fields and forests in northeastern Coastal Plain"
"Butterfly","Speyeria diana","Diana Fritillary","W2","none","S3S4","G2G3","Buncombe","Current","montane and foothill forest edges and openings; host plants -- violets (Viola)"
"Moss","Sphagnum capillifolium","Northern Peatmoss","SR-P","none","S1","G5","Buncombe","Current","bogs, heath bald"
"Moss","Sphagnum fallax","Pretty Peatmoss","SR-P","none","S2","G5","Buncombe","Current","bogs"
"Bird","Sphyrapicus varius","Yellow-bellied Sapsucker","SR","none","S2B,S5N","G5","Buncombe","Current","mature, open hardwoods with scattered dead trees [breeding evidence only]"
"Mammal","Spilogale putorius","Alleghanian Spotted Skunk","SR-G","none","S3","GNR","Buncombe","Historical","forests with rocks, cliffs, and other den sites"
"Bird","Spinus pinus","Pine Siskin","W3","none","S1B,S3N","G5","Buncombe","Current","spruce-fir forests [breeding evidence only]"
"Vascular Plant","Spiraea alba","Narrow-leaf Meadowsweet","W1","none","S2","G5","Buncombe","Historical","bogs"
"Vascular Plant","Spiraea virginiana","Virginia Spiraea","T","T","S2","G2?","Buncombe","Current","riverbanks"
"Vascular Plant","Spiranthes ochroleuca","Yellow Ladies'-tresses","T","none","S1","G4","Buncombe","Historical","grassy balds, meadows, wooded slopes"
"Natural Community","Spray Cliff","","","none","S2","G2","Buncombe","Current","null"
"Vascular Plant","Steironema hybridum","Lowland Loosestrife","SR-P","none","S2?","G5","Buncombe","Current","bottomlands"
"Vascular Plant","Stellaria alsine","Longstalk Starwort","W1","none","S2S3","G5","Buncombe","Current","seeps and river banks"
"Vascular Plant","Stellaria corei","Core's Starwort","W1","none","S3","G4","Buncombe","Current","coves, seeps, northern hardwood forests"
"Dragonfly or Damselfly","Stenogomphurus rogersi (syn. Gomphus rogersi)","Sable Clubtail","W2","none","S3","G4","Buncombe","Current","small spring-fed streams"
"Freshwater or Terrestrial Gastropod","Stenotrema altispira","Highland Slitmouth","W2","none","S3S4","G3","Buncombe","Current","cove forests and northern hardwood forests"
"Vascular Plant","Streptopus amplexifolius var. amplexifolius","White Mandarin","SR-P","none","S1","G5T5","Buncombe","Current","spruce-fir forests (Buncombe, Graham, Haywood, Jackson, Mitchell, Swain*, Yancey)"
"Freshwater or Terrestrial Gastropod","Striatura ferrea","Black Striate","W2","none","S3?","G5","Buncombe","Current","ravines and hillsides in higher elevation hardwood forests"
"Freshwater Bivalve","Strophitus undulatus","Creeper","T","none","S3","G5","Buncombe","Current","Roanoke, Tar, Neuse, Cape Fear, Yadkin-Pee Dee, Catawba, Broad, and French Broad drainages"
"Dragonfly or Damselfly","Stylurus amnicola","Riverine Clubtail","W3","none","S3","G4","Buncombe","Current","rivers"
"Dragonfly or Damselfly","Stylurus laurae","Laura's Clubtail","W1","none","S2S3","G4","Buncombe","Current","medium-size streams with clean sandy substrate"
"Mammal","Sylvilagus obscurus","Appalachian Cottontail","SR-G","none","S3","G4","Buncombe","Current","dense cover of montane woods and thickets"
"Vascular Plant","Symphyotrichum novae-angliae (syn. Virgulus novae-angliae, Aster novae-angliae)","New England Aster","W1","none","S3","G5","Buncombe","Current","wet meadows, bogs"
"Vascular Plant","Symphyotrichum pratense","Barrens Silky Aster","SR-P","none","S1","G4?","Buncombe","Current","calcareous glades and barrens"
"Mammal","Synaptomys cooperi stonei","Stone's Southern Bog Lemming","W2","none","S3","G5TNR","Buncombe","Current","bogs and wet meadows"
"Butterfly","Telegonus cellus","Golden Banded-Skipper","SR","none","S2","G5","Buncombe","Current","moist woods near streams; host plant -- wild bean (Phaseolus polystachios)"
"Vascular Plant","Thermopsis fraxinifolia","Ash-leaved Golden-banner","SC-V","none","S2?","G3?","Buncombe","Current","dry ridges"
"Vascular Plant","Thermopsis mollis","Appalachian Golden-banner","SR-T","none","S2","G3G4","Buncombe","Historical","dry ridges and open woodlands"
"Bird","Thryomanes bewickii","Bewick's Wren","E","none","SXB","G5","Buncombe","Historical","woodland borders or openings, farmlands or brushy fields, at high elevations [breeding evidence only]"
"Vascular Plant","Tilia americana var. americana","American Basswood","W7","none","S1?","G5T5","Buncombe","Current","rich cove forests"
"Vascular Plant","Toxicodendron vernix","Poison Sumac","","none","S4","G5","Buncombe","Historical","bogs, pocosins, bays and wet pine barrens"
"Beetle","Trechus mitchellensis","Mitchell's Ground Beetle","W3","none","SU","GH","Buncombe","Historical","Black Mountains (endemic to North Carolina)"
"Vascular Plant","Trichophorum cespitosum","Deerhair Bulrush","SR-D","none","S2S3","G5","Buncombe","Current","high elevation rocky summits, moist cliffs"
"Vascular Plant","Trichostema brachiatum","Glade Bluecurls","E","none","S1","G5","Buncombe","Current","diabase glades, other dry calcareous or mafic outcrops"
"Vascular Plant","Trifolium reflexum","Buffalo Clover","T","none","S1S2","G3G4","Buncombe","Historical","open woods and clearings"
"Vascular Plant","Trillium rugelii","Southern Nodding Trillium","W1","none","S3","G4","Buncombe","Current","rich woods and coves over mafic and calcareous rocks"
"Vascular Plant","Trillium simile","Sweet White Trillium","SC-V","none","S2","G3","Buncombe","Current","rich coves"
"Vascular Plant","Triphora trianthophoros var. trianthophoros","Three Birds Orchid","W1","none","S2S3","G4?T4?","Buncombe","Current","humid forests and swamps"
"Bird","Troglodytes hiemalis","Winter Wren","W2,W5","none","S3B,S5N","G5","Buncombe","Current","cool, moist forests at mid elevations to high elevations [breeding evidence only]"
"Mayfly","Tsalia berneri","a mayfly","SR","none","S3","G4","Buncombe","Historical","probably widespread in clean streams and rivers with riverweed (Podostemum)"
"Vascular Plant","Tsuga canadensis","Eastern Hemlock","W5","none","S4S5","G4G5","Buncombe","Current","moist soils"
"Vascular Plant","Tsuga caroliniana","Carolina Hemlock","W5","none","S2","G3","Buncombe","Current","open forests on ridgetops, rocky bluffs, or gorge walls"
"Bird","Tyto alba","Barn Owl","SC","none","S2S3B,S3N","G5","Buncombe","Current","extensive open country, nesting in old buildings, silos, large tree cavities [breeding evidence only]"
"Freshwater or Terrestrial Gastropod","Ventridens lawae","Rounded Dome","SR","none","S2S3","G4","Buncombe","Current","hillsides and ravines in hardwood forests"
"Vascular Plant","Verbena hastata","Blue Vervain","W7","none","S2S3","G5","Buncombe","Current","marshes, bogs, and fields"
"Bird","Vermivora chrysoptera","Golden-winged Warbler","SC","none","S2S3B","G4","Buncombe","Current","old fields and successional hardwoods [breeding evidence only]"
"Bird","Vermivora cyanoptera","Blue-winged Warbler","SR","none","S2B","G5","Buncombe","Current","low elevation brushy fields and thickets [breeding evidence only]"
"Vascular Plant","Veronicastrum virginicum","Culver's-root","W7","none","S2?","G4","Buncombe","Historical","bogs, wet meadows, dry soils over mafic rocks"
"Freshwater or Terrestrial Gastropod","Vertigo gouldii (syn. Vertigo gouldi)","Variable Vertigo","W3","none","S2S3","G5","Buncombe","Current","upland woods, especially near rock outcrops"
"Vascular Plant","Viola glaberrima","Smooth Violet","W7","none","S1S3","G5T3?","Buncombe","Historical","Rich mesic to wet-mesic forests on lower slopes and bottomlands, especially over mafic or calcareous rocks."
"Vascular Plant","Viola labradorica","Alpine Violet","W7","none","S2?","G5","Buncombe","Current","rich cove forests, bottomlands and seepage slopes"
"Vascular Plant","Viola tripartita","Three-parted Violet","W7","none","S1","G5T3","Buncombe","Historical","forests associated with basic soils"
"Vascular Plant","Viola walteri","Prostrate Blue Violet","SR-P","none","S1","G5","Buncombe","Current","rich cove forests and other rich forests"
"Bird","Vireo gilvus","Warbling Vireo","SR","none","S2B","G5","Buncombe","Current","groves of hardwoods along rivers and streams [breeding evidence only]"
"Reptile","Virginia valeriae","Smooth Earthsnake","W2","none","S3","G5","Buncombe","Historical","deciduous or mixed woods, usually in mesic soils"
"Vascular Plant","Woodsia appalachiana","Appalachian Cliff Fern","SR-P","none","S2","G4","Buncombe","Historical","cliffs, rock outcrops"
"Lichen","Xanthoparmelia monticola","Mountain Rock-shield Lichen","SR-L","none","S1S2","G2?","Buncombe","Historical","high elevation rocky summits and mafic glades"
"Mammal","Zapus hudsonius","Meadow Jumping Mouse","SR","none","S1","G5","Buncombe","Historical","open moist fields and brushy places, usually near water""Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Natural Community","Acidic Cove Forest (Typic Subtype)","","","none","S4","G5","Rutherford","Current","null"
"Vascular Plant","Agalinis decemloba (syn. Agalinis acuta)","Piedmont Gerardia","W1","none","S3","G3G4","Rutherford","Historical","dry, open sites"
"Vascular Plant","Agave virginica (syn. Manfreda virginica)","Eastern Agave","W1","none","S3","G5","Rutherford","Current","granite flatrocks, mafic glades, dry outcrops, dry woodlands"
"Vascular Plant","Amelanchier sanguinea (syn. Amelanchier sanguinea var. sanguinea, Amelanchier sanguinea)","Roundleaf Serviceberry","W1","none","S3","G5","Rutherford","Current","thin soils around mafic rock outcrops at lower and middle elevations"
"Bird","Ammodramus savannarum","Grasshopper Sparrow","W1,W5","none","S3B,S1N","G5","Rutherford","Current","pastures and other grasslands [breeding season only]"
"Vascular Plant","Amorpha schwerinii","Piedmont Indigo-bush","W1","none","S3","G3G4","Rutherford","Historical","dry forests"
"Moss","Andreaea rupestris","Rock Split Moss","W1","none","S2?","G5","Rutherford","Current","rock, typically acidic"
"Amphibian","Aneides caryaensis","Hickory Nut Gorge Green Salamander","E","none","S1","G1","Rutherford","Current","shaded crevices and hollows of rock outcrops within cove forests"
"Vascular Plant","Anemone berlandieri","Southern Anemone","E","none","S1S2","G4G5","Rutherford","Current","thin soils around rock outcrops, usually on basic soil"
"Vascular Plant","Anemone caroliniana","Prairie Anemone","E","none","S1","G5","Rutherford","Current","clayey woodlands over mafic rocks"
"Liverwort","Aneura sharpii","A Liverwort","SR-T","none","S1","GNR","Rutherford","Current","in spray zones of waterfalls"
"Freshwater or Terrestrial Gastropod","Anguispira mordax","Appalachian Tigersnail","W3","none","S3S4","G4","Rutherford","Current","hardwood forests, especially around limestone outcrops"
"Freshwater or Terrestrial Gastropod","Anguispira strongylodes","Southeastern Tigersnail","SR","none","S2S3","G5","Rutherford","Obscure","forested areas with high pH soils"
"Moss","Anomobryum julaceum (syn. Anomobryum filiforme)","Common Silver Moss","W7","none","S1S2","G5","Rutherford","Historical","high elevations on soil and rocks"
"Vascular Plant","Antennaria howellii ssp. petaloidea","Field Pussytoes","W7","none","S1?","G5T4T5","Rutherford","Current","dry woodlands"
"Reptile","Apalone spinifera aspera","Gulf Coast Spiny Softshell","W2","none","S3","G5T5","Rutherford","Current","large streams, ponds, and lakes with sandy bottoms"
"Vascular Plant","Arabis patens","Spreading Rockcress","SR-T","none","S1","G3","Rutherford","Current","thin soils around limestone and nutrient-rich seepage from amphibolite"
"Vascular Plant","Arisaema stewardsonii (syn. Arisaema triphyllum ssp. stewardsonii)","Bog Jack-in-the-pulpit","W1","none","S3","G5T5","Rutherford","Current","bogs"
"Vascular Plant","Asplenium bradleyi","Bradley's Spleenwort","SR-P","none","S2","G4","Rutherford","Current","acidic rock outcrops and cliffs"
"Vascular Plant","Asplenium pinnatifidum","Lobed Spleenwort","SR-P","none","S2","G4","Rutherford","Current","acidic rock outcrops and cliffs"
"Vascular Plant","Asplenium resiliens","Blackstem Spleenwort","W1","none","S2","G5","Rutherford","Historical","calcareous rock outcrops"
"Moss","Atrichum tenellum","A Catharinea Moss","W7","none","S1?","G4G5","Rutherford","Current","wet depressions and bogs"
"Vascular Plant","Baptisia alba","Thick-pod White Wild Indigo","T","none","S2","G5","Rutherford","Current","open woodlands, clearings"
"Vascular Plant","Baptisia albescens","Thin-pod White Wild Indigo","W1","none","S3","G4","Rutherford","Current","open woodlands, clearings"
"Natural Community","Basic Mesic Forest (Piedmont Subtype)","","","none","S3S4","G3G4","Rutherford","Current","null"
"Moss","Bellibarbula recurva","Recurved bryoerythrophyllum moss","SR-P","none","S1?","G3G5","Rutherford","Historical","thin soil over moist rock (Jackson*, Macon*, Rutherford*, Transylvania*)"
"Vascular Plant","Berberis canadensis","American Barberry","SC-V","none","S2","G3G4","Rutherford","Current","open forests and glades on basic soils"
"Sawfly, Wasp, Bee, or Ant","Bombus pensylvanicus","American Bumble Bee","W3","none","S3S4","G3G4","Rutherford","Current","open habitats, fields"
"Moss","Brachytheciastrum velutinum (syn. Brachythecium velutinum)","Velvet Moss","W7","none","S1?","G5","Rutherford","Current","high elevation forests"
"Moss","Brachythecium rotaeanum","Rota's Feather Moss","SR-D","none","S1","G5","Rutherford","Current","on bark or rock in cove forests"
"Moss","Brothera leana","Boar Moss","W7","none","S2?","G3G4","Rutherford","Historical","on logs in forests; on thin soil around rock outcrops"
"Moss","Bryoerythrophyllum ferruginascens","Rust Foot Moss","SR-D","none","S1","G3G4","Rutherford","Historical","on moist rocks or soil at high elevations"
"Moss","Bryum limbatum","A Moss","SR-D","none","S1?","G5?","Rutherford","Current","low elevation rocky summits"
"Vascular Plant","Calamagrostis porteri","Porter's Reed Grass","SR-P","none","S2","G4","Rutherford","Current","middle elevation ridgetop forests"
"Crustacean","Cambarus johni","Carolina Foothills Crayfish","SR","none","S3","G3","Rutherford","Current","headwater streams in the Yadkin-Pee Dee, Catawba, and Broad drainages"
"Crustacean","Cambarus lenati","Broad River Stream Crayfish","SR","none","S2","G2","Rutherford","Current","streams in the Broad River drainage (endemic to North Carolina)"
"Crustacean","Cambarus sp. A (syn. Cambarus howardi)","a crayfish","W3","none","S2S4","G2G3","Rutherford","Current","streams and rivers, species in Hiwassee and New drainages likely distinct from Catawba, Broad, Yadkin-Pee Dee drainages"
"Crustacean","Cambarus spicatus","Broad River Spiny Crayfish","T","none","S2","G3","Rutherford","Current","streams in Broad River drainage"
"Moss","Campylopus oerstedianus","Oersted's Campylopus","SR-D","none","S1","G2G3","Rutherford","Current","granite flatrocks"
"Moss","Campylostelium saxicola","Sandstone Grimmia","W7","none","S2?","G3G5","Rutherford","Historical","acidic sandstone boulders and cliffs, and sandstone rock shelters"
"Natural Community","Canada Hemlock Forest (Typic Subtype)","","","none","S1S2","G3G4","Rutherford","Current","null"
"Vascular Plant","Cardamine dissecta","Dissected Toothwort","SC-V","none","S2","G4?","Rutherford","Historical","rich woods, cove forests, bottomlands"
"Vascular Plant","Carex albursina","White Bear Sedge","W7","none","S2","G5","Rutherford","Current","rich cove forests, over mafic or calcareous rocks"
"Vascular Plant","Carex biltmoreana","Biltmore Sedge","W1","none","S3","G3","Rutherford","Current","cliffs, outcrops, and granitic domes"
"Vascular Plant","Carex bromoides ssp. montana (syn. Carex bromoides)","Blue Ridge Brome Sedge","W7","none","S2S3","G5T3?","Rutherford","Historical","bogs, moist areas along streams, seepages in coves"
"Vascular Plant","Carex leavenworthii","Leavenworth's Sedge","W7","none","S1?","G5","Rutherford","Current","dry woods"
"Natural Community","Carolina Hemlock Forest (Mesic Subtype)","","","none","S1","G1G2","Rutherford","Current","null"
"Natural Community","Carolina Hemlock Forest (Pine Subtype)","","","none","S1S2","G2","Rutherford","Current","null"
"Natural Community","Carolina Hemlock Forest (Typic Subtype)","","","none","S2","G2","Rutherford","Current","null"
"Freshwater Fish","Carpiodes sp. cf. cyprinus",""Carolina" Quillback","SR","none","S2","GNR","Rutherford","Current","Yadkin-Pee Dee, Catawba, Broad, and Roanoke drainages"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G3?","Rutherford","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Vascular Plant","Celastrus scandens","American Bittersweet","E","none","S2?","G5","Rutherford","Current","cove forests and rich woods"
"Vascular Plant","Celtis occidentalis","Mountain Hackberry","W7","none","S2","G5","Rutherford","Current","rocky woodlands and mafic cliffs"
"Reptile","Cemophora coccinea","Scarlet Snake","W1,W5","none","S3","G5","Rutherford","Current","sandhills, sandy woods, and other dry woods"
"Liverwort","Cephaloziella hampeana","A Liverwort","SR-D","none","S1","G5","Rutherford","Current","fens"
"Liverwort","Cephaloziella massalongoi (syn. Cephaloziella massalongi)","A Liverwort","W7","none","S1","G3G5","Rutherford","Current","high elevation rocky summits"
"Vascular Plant","Chelone obliqua var. erwiniae","Erwin's Turtlehead","SR-T","none","S2","G4T2T4Q","Rutherford","Current","streambanks, swamp forests"
"Natural Community","Chestnut Oak Forest (Dry Heath Subtype)","","","none","S5","G5","Rutherford","Current","null"
"Natural Community","Chestnut Oak Forest (Herb Subtype)","","","none","S4","G4G5","Rutherford","Current","null"
"Natural Community","Chestnut Oak Forest (Mesic Subtype)","","","none","S3S4","G4","Rutherford","Current","null"
"Natural Community","Chestnut Oak Forest (White Pine Subtype)","","","none","S3","G3","Rutherford","Current","null"
"Vascular Plant","Cirsium carolinianum","Carolina Thistle","E","none","S1","G5","Rutherford","Current","forests and disturbed areas, mostly on basic soils"
"Vascular Plant","Cleistesiopsis bifaria","Small Spreading Pogonia","W1","none","S2","G3G4","Rutherford","Current","savannas, dry meadows"
"Vascular Plant","Clematis catesbyana","Coastal Virgin's-bower","SR-P","none","S2","G5","Rutherford","Current","dunes, edges of maritime forests, or over dolomite"
"Vascular Plant","Collinsonia tuberosa","Piedmont Horsebalm","SR-P","none","S1S2","G3G4","Rutherford","Current","rich hardwood forests"
"Vascular Plant","Corallorhiza wisteriana","Spring Coral-root","SR-O","none","S1","G5","Rutherford","Current","nutrient-rich forests, especially over limestone, mafic rocks or shell rich sands"
"Vascular Plant","Coreopsis latifolia","Broadleaf Coreopsis","W1","none","S3","G3","Rutherford","Current","cove forests and other rich woods"
"Vascular Plant","Coreopsis pubescens var. robusta","Blue Ridge Coreopsis","W7","none","S2?","G5?T3T5","Rutherford","Current","rich woodlands, glades, outcrops"
"Bird","Corvus corax","Common Raven","W2","none","S3","G5","Rutherford","Current","cliffs or ledges for nesting; forests or fields (mainly at high elevations) for foraging [breeding evidence only]"
"Vascular Plant","Crataegus pexa","Neat Hawthorn","W7","none","S3?","G4G5TNR","Rutherford","Historical","Longleaf pine sandhills, other xeric or subxeric forest, pine oak scrublands, disturbed woodlands"
"Reptile","Crotalus horridus","Timber Rattlesnake","SC","none","S3","G4","Rutherford","Current","wetland forests in the Coastal Plain; rocky, upland forests elsewhere"
"Vascular Plant","Cuscuta coryli","Hazel Dodder","SR-T","none","S1?","G4","Rutherford","Current","on woody or herbaceous hosts"
"Vascular Plant","Cuthbertia rosea","Roseling","W7","none","S1?","G5","Rutherford","Current","dry woodlands"
"Vascular Plant","Cyperus granitophilus","Granite Flatsedge","T","none","S2","G3G4","Rutherford","Current","granite flatrocks, other rock outcrops"
"Vascular Plant","Cyperus squarrosus","Awned Flatsedge","W7","none","S2","G5","Rutherford","Current","granite flatrocks, other rock outcrops"
"Freshwater Fish","Cyprinella labrosa","Thicklip Chub","T","none","S3","G4","Rutherford","Current","Yadkin, Catawba, and Broad drainages"
"Freshwater Fish","Cyprinella zanema","Santee Chub","T","none","S3","G4","Rutherford","Current","Catawba and Broad drainages"
"Moss","Cyrto-hypnum pygmaeum","Pygmy Cyrto-hypnum Moss","SR-O","none","S1?","G4G5","Rutherford","Historical","Moist woods, moist rock, limestone, sandstone, quartzite"
"Vascular Plant","Cystopteris bulbifera","Bulblet Bladder Fern","W7","none","S1S2","G5","Rutherford","Current","calcareous rocks"
"Vascular Plant","Cystopteris fragilis","Fragile Fern","SR-P","none","S1","G5","Rutherford","Current","high elevation cliffs"
"Grasshopper or Katydid","Dendrotettix australis","Scrub Pine Grasshopper","W3","none","SU","GU","Rutherford","Current","dry forests and monadnocks, often in pine stands"
"Vascular Plant","Diamorpha smallii","Elf Orpine","W1","none","S3","G4","Rutherford","Current","granite flatrocks"
"Vascular Plant","Dicentra eximia","Bleeding Heart","SR-P","none","S3","G4","Rutherford","Current","rock outcrops"
"Moss","Dicranella rufescens","Red Fork Moss","SR-O","none","S1?","G5?","Rutherford","Current","wet soil on banks of roads and streams"
"Moss","Dicranella varia","Variable Fork Moss","SR-O","none","S1?","G5","Rutherford","Current","wet, calcareous soil, in open, disturbed places"
"Vascular Plant","Dirca palustris","Leatherwood","W1","none","S3","G5","Rutherford","Current","rich woods, either alluvial or over mafic or calcareous rocks"
"Vascular Plant","Draba ramosissima","Branching Draba","SR-P","none","S2","G4","Rutherford","Current","calcareous and mafic rock outcrops"
"Natural Community","Dry Oak--Hickory Forest (Piedmont Subtype)","","","none","S4","G4G5","Rutherford","Current","null"
"Natural Community","Dry-Mesic Oak--Hickory Forest (Piedmont Subtype)","","","none","S4","G4G5","Rutherford","Current","null"
"Vascular Plant","Dryopteris cristata","Crested Woodfern","W1","none","S3","G5","Rutherford","Current","bogs, wet woods"
"Liverwort","Dumortiera hirsuta ssp. nepalensis","A Liverwort","W1","none","S1","G5T5","Rutherford","Current","in grottoes behind waterfalls in humid gorges"
"Vascular Plant","Echinacea pallida","Pale Coneflower","W4","none","SU","G5","Rutherford","Current","mafic glades and barrens"
"Vascular Plant","Echinacea purpurea","Purple Coneflower","SR-O","none","S1","G5","Rutherford","Historical","open woods and clearings"
"Butterfly","Erynnis martialis","Mottled Duskywing","SR","none","S2","G3","Rutherford","Current","upland woods and wooded edges; host plant -- New Jersey tea (Ceanothus americanus)"
"Freshwater Fish","Etheostoma thalassinum","Seagreen Darter","SC","none","S3","G4","Rutherford","Current","Catawba and Broad drainages"
"Vascular Plant","Euonymus atropurpureus (syn. Euonymus atropurpureus var. atropurpureus, Euonymus atropurpurea var. atropurpurea)","Eastern Wahoo","W7","none","S2","G5","Rutherford","Historical","levee forests and rich forests with circumneutral soils"
"Vascular Plant","Eupatorium godfreyanum","Godfrey's Thoroughwort","W1","none","S3","G4","Rutherford","Current","woodlands, especially over mafic rocks"
"Vascular Plant","Eupatorium sessilifolium var. brittonianum","Britton's Eupatorium","W7","none","S1?","G5T3T5","Rutherford","Current","rocky woodlands over mafic rocks"
"Vascular Plant","Euphorbia commutata","Cliff Spurge","T","none","S1","G5","Rutherford","Current","thin soil around mafic or calcareous outcrops"
"Moss","Fabronia ciliaris var. polycarpa","A False Crushed-rice Moss","W7","none","S2?","G5T4T5","Rutherford","Current","bark of trees, less commonly on rocks"
"Bird","Falco peregrinus anatum","American Peregrine Falcon","E","none","S1B,S2N","G4T4","Rutherford","Current","cliffs (nesting); coastal ponds and mudflats (foraging in winter) [breeding evidence; regular wintering sites]"
"Vascular Plant","Fallopia cristata","Crested Climbing Buckwheat","W7","none","S2?","G5T5","Rutherford","Current","moist forests, especially alluvial forests"
"Moss","Fissidens adianthoides","Maiden Hair Moss","W7","none","S1","G5","Rutherford","Current","wet areas on soil, around bases of trees, on decaying wood or calcareous rocks"
"Moss","Fissidens appalachensis","Appalachian Pocket Moss","W7","none","S2S3","G2G3","Rutherford","Current","submerged in rapids of moderate to high elevation mountain streams"
"Moss","Fissidens elegans","A Plume Moss","W7","none","S2?","G5","Rutherford","Current","sandy and clayey soils along roadsides and streams, on trees or stumps"
"Vascular Plant","Fothergilla major","Large Witch-alder","SR-T","none","S3","G3","Rutherford","Current","dry ridgetop or bluff forests, seepage wetlands, and Piedmont longleaf pine forests"
"Vascular Plant","Frangula caroliniana","Carolina Buckthorn","W1","none","S3","G5","Rutherford","Current","rich bottomlands and slopes"
"Liverwort","Frullania appalachiana","A Liverwort","SR-L","none","S1?","G3G4","Rutherford","Current","on bark of hardwoods in spruce-fir forests"
"Reptile","Glyptemys muhlenbergii","Bog Turtle","T","T(S/A)","S2","G2G3","Rutherford","Current","bogs, wet pastures, wet thickets"
"Vascular Plant","Goodyera repens","Lesser Rattlesnake Orchid","W1","none","S2S3","G5","Rutherford","Current","moist, acid forests, especially under rhododendrons and conifers"
"Natural Community","Granitic Flatrock (Annual Herb Subtype)","","","none","S2","G3","Rutherford","Current","null"
"Natural Community","Granitic Flatrock (Perennial Herb Subtype)","","","none","S2","G3","Rutherford","Current","null"
"Natural Community","Granitic Flatrock Border Woodland","","","none","S2","G3?","Rutherford","Current","null"
"Lichen","Gymnoderma lineare","Rock Gnome Lichen","E","E","S3","G3","Rutherford","Current","high elevation rock outcrops, outcrops in humid gorges"
"Vascular Plant","Hackelia virginiana","Virginia Stickseed","SR-P","none","S2","G5","Rutherford","Current","woods and thickets with circumneutral soil"
"Bird","Haliaeetus leucocephalus","Bald Eagle","T","BGPA","S3B,S3N","G5","Rutherford","Current","mature forests near large bodies of water (nesting); rivers, lakes, and sounds (foraging) [breeding evidence only]"
"Vascular Plant","Helianthus laevigatus","Smooth Sunflower","SC-V","none","S3","G4","Rutherford","Current","shaly open woods and roadsides"
"Vascular Plant","Heuchera caroliniana","Carolina Alumroot","W7","none","S3","G3","Rutherford","Current","rich, rocky woods"
"Vascular Plant","Heuchera parviflora var. parviflora","Grotto Alumroot","W1","none","S3","G4T4","Rutherford","Current","in deep shade under overhanging cliffs"
"Vascular Plant","Hexalectris spicata","Crested Coralroot","SR-P","none","S2","G5","Rutherford","Current","dry or mesic woods on basic soils"
"Vascular Plant","Hexastylis naniflora","Dwarf-flowered Heartleaf","T","T","S3","G3","Rutherford","Current","rich deciduous forests, bluffs, and ravines"
"Mayfly","Homoeoneuria cahabensis","Cahaba Sand-filtering Mayfly","SR","none","S2","G3","Rutherford","Historical","South Fork Yadkin River (Davie), South Fork Catawba River, Hunting Creek, Third Creek, Second Broad River"
"Vascular Plant","Houstonia lanceolata","Glade Mountain Houstonia","SR-P","none","S1","G5T5","Rutherford","Historical","calcareous barrens, dry woodlands, shallow soils around mafic and calcareous rock outcrops (Burke, Cherokee*, Henderson*, Jackson*, Macon*, Madison*)"
"Vascular Plant","Huperzia appressa","Appalachian Fir-clubmoss","W1","none","S3","G5","Rutherford","Current","high elevation rocky summits, seeps, fens"
